nonbase_mass_retention,mean_scale,min_scale,max_predicted_relative_delta,hard_cap_violation_count,risk_weighted_predicted_delta,router_coupled_weighted_scale,router_coupled_weighted_predicted_delta,changed_group_count,route_mass_weighted_scale,candidate_id,pressure_quantile,extra_shrink_strength,extra_shrink_cap,retention_delta_vs_base,risk_delta_reduction_vs_base,router_coupled_delta_reduction_vs_base,passes_hard_cap,passes_retention_gate,passes_default_gate
0.9650028504517598,0.9620668681526269,0.4306440943988023,0.6490000000000001,0,0.23041379578850626,0.9749809090864663,0.22417519942672728,638,0.980130044766926,router_q0.85_s0.01000_cap0.00010,0.85,0.01,0.0001,-3.165433315233113e-05,9.685671150727604e-06,1.1645541860866304e-05,True,True,True
0.9650035877925535,0.9620662172641562,0.4306440943988023,0.6490000000000001,0,0.23041405093220838,0.9749815353903037,0.2241754952700858,972,0.9801303009181596,router_q0.75_s0.00010_cap0.00010,0.75,0.0001,0.0001,-3.091699235868717e-05,9.430527448617276e-06,1.1349698502360894e-05,True,True,True
0.9650035877925535,0.9620662172641562,0.4306440943988023,0.6490000000000001,0,0.23041405093220838,0.9749815353903037,0.2241754952700858,972,0.9801303009181596,router_q0.75_s0.00010_cap0.00020,0.75,0.0001,0.0002,-3.091699235868717e-05,9.430527448617276e-06,1.1349698502360894e-05,True,True,True
0.9650035877925535,0.9620662172641562,0.4306440943988023,0.6490000000000001,0,0.23041405093220838,0.9749815353903037,0.2241754952700858,972,0.9801303009181596,router_q0.75_s0.00010_cap0.00030,0.75,0.0001,0.0003,-3.091699235868717e-05,9.430527448617276e-06,1.1349698502360894e-05,True,True,True
0.9650035877925535,0.9620662172641562,0.4306440943988023,0.6490000000000001,0,0.23041405093220838,0.9749815353903037,0.2241754952700858,972,0.9801303009181596,router_q0.75_s0.00010_cap0.00050,0.75,0.0001,0.0005,-3.091699235868717e-05,9.430527448617276e-06,1.1349698502360894e-05,True,True,True
0.9650035877925535,0.9620662172641562,0.4306440943988023,0.6490000000000001,0,0.23041405093220838,0.9749815353903037,0.2241754952700858,972,0.9801303009181596,router_q0.75_s0.00010_cap0.00075,0.75,0.0001,0.00075,-3.091699235868717e-05,9.430527448617276e-06,1.1349698502360894e-05,True,True,True
0.9650035877925535,0.9620662172641562,0.4306440943988023,0.6490000000000001,0,0.23041405093220838,0.9749815353903037,0.2241754952700858,972,0.9801303009181596,router_q0.75_s0.00010_cap0.00100,0.75,0.0001,0.001,-3.091699235868717e-05,9.430527448617276e-06,1.1349698502360894e-05,True,True,True
0.9650035877925535,0.9620662172641562,0.4306440943988023,0.6490000000000001,0,0.23041405093220838,0.9749815353903037,0.2241754952700858,972,0.9801303009181596,router_q0.75_s0.00010_cap0.00200,0.75,0.0001,0.002,-3.091699235868717e-05,9.430527448617276e-06,1.1349698502360894e-05,True,True,True
0.9650035877925535,0.9620662172641562,0.4306440943988023,0.6490000000000001,0,0.23041405093220838,0.9749815353903037,0.2241754952700858,972,0.9801303009181596,router_q0.75_s0.00010_cap0.00300,0.75,0.0001,0.003,-3.091699235868717e-05,9.430527448617276e-06,1.1349698502360894e-05,True,True,True
0.9650035877925535,0.9620662172641562,0.4306440943988023,0.6490000000000001,0,0.23041405093220838,0.9749815353903037,0.2241754952700858,972,0.9801303009181596,router_q0.75_s0.00010_cap0.00500,0.75,0.0001,0.005,-3.091699235868717e-05,9.430527448617276e-06,1.1349698502360894e-05,True,True,True
